title,directions
Date Surprise Balls,"Beat eggs with a spoon in a 2-quart pan., Add sugar, butter and dates. Cook slowly for 10 to 12 minutes on a low fire., Remove from heat and cool. Add Rice Krispies and nuts., Shape into small balls. Roll in shredded coconut."
Emily Lee Ann'S Poppy Seed Bread,"Heat oven to 350°., Grease and flour 1 (9 x 5 x 3-inch) loaf pan or 2 (8 1/2 x 4 1/2 x 2 1/2-inch) loaf pans., Mix all ingredients and beat 30 seconds., Pour into pan(s)., Bake until wooden pick comes out clean; 9-inch loaf for 55 to 65 minutes or 8 1/2-inch loaves for 55 to 60 minutes., Take out of oven and cool for 2 to 3 minutes, then take out of pan., Leave to cool (upright) on wire rack."
Earthquake Cake,"Mix pecans and coconut., Put in bottom of pan., Mix cake according to box directions. Pour over pecans and coconut., Mix sugar, cream cheese, butter and vanilla., Spoon over cake mix. Bake 50 minutes at 350°."
Light Rolls,"Dissolve yeast in water., Mix with other ingredients., Let rise until double in size., Push down., Let rise again., Push down., Make into rolls and put into pan., Let rise., Bake in 400° oven until done., Handle dough easy and lightly or rolls will be tough."
Spanish Rice Casserole,"Prepare Rice-A-Roni and tomatoes according to directions on the box., Mix in hamburger., Pour into a 9 x 13-inch baking dish. Top with shredded Cheddar cheese., Bake at 350° for 10 to 15 minutes, or until cheese melts."
Favorite Family Recipe - Christmas Stollen,"Soften active dry yeast in warm water., Scald milk in sugar, salt and butter; cool to lukewarm., Mix in 2 cups flour, yeast, eggs, cardamom and fruit., Add enough remaining flour to make a stiff dough., Knead on floured surface; place in a greased bowl and grease top of dough., Cover."
Rum Balls,"Cream all ingredients, but only half the nuts., Chill for 2 hours., Roll into 1-inch balls and then roll balls into remaining nuts to coat., Keep chilled."
Melt-A-Way,"Preheat oven to 400°., Mix ingredients and roll or drop small amount on a greased cookie sheet., Cook 6 to 8 minutes (until set and not brown)., Remove from cookie sheet and roll in confectioners sugar."
Peach Cheesecake Ice Cream,"In a large mixer bowl, combine softened cream cheese and sugar., Beat with an electric mixer on medium-high speed until fluffy., Reduce mixer speed to low and gradually add whipping cream, milk, peach nectar or orange juice, lemon juice, vanilla and apple pie spice., Beat until ingredients are combined., Stir in the chopped peach., Freeze the ice cream mixture in a 1 or 2-quart ice cream freezer, according to manufacturer's directions. Makes about 1 quart."
Orange Danish Rolls,"Combine cream cheese, sugar and peel; mix until well blended. Unroll dough from cans and lay on floured surface., Overlap long edges to shape into a rectangle (13 x 7-inch), pressing all edges together to seal., Spread rectangle with cream cheese mixture (3/4 of mixture, save 1/4 for icing)., Roll up dough, starting at long side, roll up (jelly roll fashion)., Cut or slice 1-inch pieces. Lay on cookie sheet on cut side about 2 inches apart., Bake at 375° for 10 to 12 minutes."
Cool Summer Lemon Roll,"In bowl, blend together cake mix and lemon pie filling., On a parchment paper lined cookie sheet, spread batter evenly to within 1-inch of edge of cookie sheet., Bake in a 350° oven for 13 to 16 minutes or until lightly browned., Carefully take cake out of pan by lifting up ends of parchment paper at the same time., Leave on counter for exactly 8 minutes., Then roll up cake into a roll and cover ends with paper towels or plastic wrap., Let it cool completely before unrolling, approximately 2 hours."
Pretzel Salad,"Cream butter and 3 tablespoons sugar., Blend in pretzels. Press in a 9 x 13-inch pan and bake at 350° for 10 minutes., Cool. Cream together cream cheese and 1 cup sugar., Fold into Cool Whip. Pour into cooled crust., Dissolve jello in boiling water and add undrained strawberries., When jello mixture is partially set, pour it over the cream mixture in shell., Chill., Serves 12."
Chicken Salad,"Cut up chicken., Add and mix all other ingredients together."
Holiday Cranberry Freeze,"Mix ingredients and put in freezer., Serve semi-frozen., Great for Christmas or Thanksgiving dinner."
Brown Sugar Chess Pie,Mix all ingredients and pour into an unbaked pastry shell. Bake at 325° for 30 minutes or until center of pie is firm when shaken.
Lasagne,"Cook and stir ground beef; drain off all fat., Add spaghetti sauce to meat and mix well., Heat oven to 350°., Mix Ricotta cheese, 1/2 cup Parmesan cheese, parsley flakes and oregano., In an ungreased 13 x 9 x 2-inch baking pan, layer 1/4 each of noodles, meat sauce, Mozzarella cheese and the cottage cheese mixture., Repeat 3 times., Add meat sauce over top and sprinkle (cover well) with Parmesan cheese., Bake, uncovered, for 45 minutes., Let stand 15 minutes before serving."
Black-Eyed Pea Salad,"Drain peas., Rinse with cold water and drain well. Add chopped celery and onion. Combine oil, vinegar, mayonnaise, salt and cayenne pepper., Mix well., Pour over peas., Stir gently. Allow to chill in refrigerator several hours or overnight."
Chicken Tetrazzini,"Saute pepper in butter until tender., Blend in flour., Add milk and stock., Cook until smooth., Add cheese, pimento and soup. Cook spaghetti in broth and drain., Add sauce and chicken., Pour into casserole., Sprinkle with additional cheese., Bake at 250° to 300° for 45 minutes., Yields 6 servings."
Cherry Delight Dump Cake,"Dump cherry filling in a 9 x 13-inch oblong pan., Then dump pineapple., Then sprinkle cake mix on top of that., Melt margarine and pour over cake mix., On top of this add Angel Flake coconut and top with pecans., Bake for 1 hour at 325°., Serve warm with ice cream or it's good cold., Serve from the same pan."
Bacon Greens,"Cook bacon completely, but not crispy., Cook greens for about 3 to 5 minutes., Add remaining ingredients; stir thoroughly. Makes approximately 4 servings."
Flan(Spanish Caramel Custard)  ,"Pour milk into a large saucepan., Add salt and scald., Remove from fire and add 1 cup of sugar, stirring until it is dissolved; set aside."
Peanut Butter Pie,"Cream together powdered sugar, evaporated milk and peanut butter., Mix in cream cheese, half of dry peanuts and Dream Whip. Once all mixed, pour into pie shell of your choice., Sprinkle remaining dry peanuts on top., Freeze for 2 hours, then refrigerate until ready for use., Serve with chocolate syrup and Cool Whip."
Colorful Slaw,"In a large bowl, combine mayonnaise and lemon juice., Mix well., Add remaining ingredients and mix well., Refrigerate several hours., Serves 6."
Scalloped Potatoes,"Grease (Crisco) a 9x13 baking dish., Peel and slice potatoes. Make a layer of potato slices, top with velveeta cheese and 4 tsp butter on cheese., Repeat layers., Mix milk and flour together. Pour over layers., Cover and Bake at 350 - 400 degrees for 1 1/2 hours or until potatoes are tender."
Enchiladas,"Cook beef with onions., Prepare tortilla and assemble one at a time., Fry tortilla in hot oil for a few seconds on each side. Dip into 1 can of heated enchilada sauce and remove immediately. Place on a plate and put olives, cheese and meat mixture on tortilla., Roll up and place seam side down in a 13 x 9 x 2-inch baking dish., When all enchiladas are in baking dish, cover with remaining sauce., Sprinkle top with grated cheese, olives and raw chopped onions., Bake at 350° until bubbly."
Diabetic Pineapple Cookies,"Sift the first 3 ingredients., Add egg, margarine and rest of ingredients., Drop by teaspoonfuls on greased cookie sheet. Sprinkle coconut on each cookie and level with a fork., Bake at 350° for 12 to 15 minutes."
Juanita Cole Farlowe'S Pound Cake,"Mix all ingredients., Bake at 325° for 1 hour and 15 minutes."
Baked Custard,"Beat eggs slightly with fork., Add sugar, salt and vanilla. Add cold milk., Stir until thoroughly mixed., Pour into custard cups., Sprinkle with nutmeg, if desired, and place in 2 or 2 1/2-inch deep pan., Pour boiling water around cups to come almost level with custard., Bake in oven at 350° for 40 to 50 minutes or until a silver knife comes out clean when inserted in center. Makes 6 average sized custards."
Corn Salad,"Combine vinegar, sugar, oil, salt and pepper; add to other ingredients. Set in refrigerator overnight, then drain and serve."
Nut Brittle,"Melt sugar over low flame until sugar is golden brown., Add butter., Add nuts and stir until nuts are covered., Pour into well buttered dish., When cold, break into pieces."
Cherry Mash Candy,"Mix, ingredients, together, well., Chill, and form into balls or	any, shape, you, prefer., Chill another 30 minutes. Melt, over simmering	water 1 pound dark chocolate (sometimes called almond bark)., Dip chilled balls into melted chocolate, after, stirring in	8 ounces finely chopped, unsalted peanuts into melted chocolate."
Cheese Cake,"Dissolve gelatin in boiling water; chill until it starts to jell., Mix together cream cheese and confectioners sugar until smooth., Whip Milnot until it peaks; slowly add cream cheese mixture and gelatin., Mix cracker crumbs with margarine, reserving 1/4 cup., Line a cake pan with rest of crumbs., Pour in cream cheese mixture., Sprinkle with rest of crumbs., Chill."
Dirt Cake,"Crumble Oreos; set aside., Fold together the remaining ingredients., Layer as follows: pudding, Oreos, pudding, Oreos, etc., for a total of 4 or 5 layers., End with one inch of Oreos on top., (These may be ground fine in a blender so as to resemble dirt.), Optional: Add gummy worms to layers."
"Frosting For ""Lazy Daisy"" Cake","Mix all ingredients together and spread on a baked Lazy Daisy Cake., Place under the heated broiler in oven until it bubbles. Delicious!"
Cheese Cake,"Mix jello with 1 cup boiling water and set aside to cool. Beat Milnot until stiff and set aside., Cream sugar and cream cheese together., Add cooled jello to whipped Milnot, then cheese mixture and vanilla."
Banana Muffins,"In mixing bowl, combine all dry ingredients., In small bowl, combine remaining ingredients., Mix dry with moist ingredients, stirring until all are moist."
Sweet And Sour Chicken,"Brown chicken in melted margarine., Remove chicken from pan. Drain pineapple, reserving juice. Combine brown sugar, cornstarch and salt in skillet., Gradually add vinegar, soy sauce and pineapple juice., Stir. Cook over medium heat until thick., You may need to add about 1/2 cup water. Add pineapple, green pepper, onion and chicken., Cover and simmer 5 to 10 minutes., Serve over rice."
Shrimp Casserole,"Cook broccoli; drain., Saute onion and shrimp in butter until tender., Add broccoli; simmer 5 minutes., Add cheese soup and rice., Put mixture in casserole dish., Bake at 350° for 30 minutes."
Chili Chill Chasen(Microwave)  ,"Combine onion, green pepper and crumbled ground beef in a plastic container and microwave on High for 6 minutes., Drain and place in a 2-quart container., Add tomato sauce, tomatoes, beans, salt, pepper, chili powder and dry mustard., Cover and microwave on High for 10 to 12 minutes, stirring halfway through cooking. Standing time is 10 minutes., Cooking time is 16 to 18 minutes. Serves 4 to 8."
Oven Fried Parmesan Chicken,"Combine first 5 ingredients; set aside., Dip chicken in salad dressing; dredge in bread crumb mixture., Place chicken bone side down in 13 x 9 x 2-inch baking pan coated with cooking spray. Bake at 350° for about 45 minutes or until tender., Yields 6 servings."
Hamburger Stroganoff,"Saute onion and garlic in margarine over medium heat until soft., Add meat and brown., Add flour, salt, pepper and mushrooms. Cook 5 minutes., Add soup and simmer uncovered for 10 minutes. Stir in sour cream., Heat thoroughly., Sprinkle with parsley. Serve with noodles."
Dirt Cake,"In blender or food processor, add 8 to 10 cookies at a time and blend until finely crushed., Set aside."
Banana Split Cake,"Mix pudding according to package directions., In a 2-quart casserole dish, layer half the Trefoils, half the bananas, half the pudding and half the whipped topping., Repeat layers., Refrigerate 4 hours., Before serving, top with crushed Juliettes."
My Hawaiian Pudding,"Mix first 7 ingredients together, then add remaining ingredients., Mix thoroughly, about 3 to 4 minutes."
Cake Mix Cookies,"Mix cake mix, butter, banana and egg until well blended., Stir in chocolate or butterscotch bits., Drop by teaspoonful on ungreased cookie sheet., Bake 10 to 12 minutes at 350°."
April Fools Apple Pie,"Preheat oven to 350 degrees., In a saucepan, combine sugar, water, cream of tartar and butter., Bring to a boil, add cinnamon and continue to boil for approximately 4 minutes stirring constantly., Crush the saltine crackers and put in a 9 inch unbaked pie crust., Pour mixture from saucepan into crust and sprinkle extra cinnamon over top., Bake for 40 minutes or until done."
Strawberry Dessert,Mix Jell-O with boiling water until dissolved. Add frozen berries. Cool until slightly thickened. Tear cake into pieces. Put in bottom of 9 x 13-inch pan. Mix Cool Whip and strawberry mixture. Fold in slightly. Pour over cake. Refrigerate until set. Yield: 12 to 15 servings.
Hot Cheese Puffs,"Measure all ingredients except flour into a small bowl., Beat until mixture is soft and well blended., Add flour and mix to a stiff dough., Measure by level tablespoonful., Roll each measure of dough into a small ball, placed on ungreased cookie sheets., Press down lightly with fork., Bake in 350° oven for 10 to 15 minutes or just until very lightly browned., Remove from oven and serve warm. Also very good reheated."
Fresh Peach Pie(Variations For Strawberry And Blueberry)  ,"Cook sugar, water and cornstarch until thick., Remove from stove and add peach jello., Cool., Add peaches and stir until coated and thickened., Put into prebaked pie shell., Add Cool Whip or topping."
Butter Cake,"Grease a 9 x 11-inch oblong pan with margarine., Mix first three ingredients by hand., Press into bottom of pan."
Mandarin Salad,"Cook the almonds and sugar over low heat, stirring constantly, until sugar is melted and almonds are coated., Cool and break apart., Store at room temperature."
Pumpkin Pie Anytime Of The Year,"Put all ingredients in a blender and blend on medium for 1 minute., Let stand 2 minutes., Pour into buttered pie pan., Bake 350 degrees for 50 minutes., Let cool and serve with low fat whipped cream."
Pinto Beans,"Soak beans overnight., Add all ingredients and cook very slow until tender in enough water to cover the beans., Add any other spices to suit your taste."
Chicken Casserole,"Boil chicken until done., Save broth., Melt butter., Mix with stuffing and seasonings., Mix both soups with broth., Cook mixed vegetables in separate container with grated cheese., In greased casserole, layer dressing mix, chicken and soup., Repeat, ending with dressing mix., Bake in 350° oven for 30 minutes."
Fluff Cakes(Pan Cakes)  ,Mix in order and fry on a griddle.
Sausage Brunch Casserole,"Place 6 slices buttered bread, buttered side up, in large baking pan., Place 1/2 sausage that has been cooked and drained and 1/2 cheese over bread., Beat eggs and milk together., Pour 1/2 of this over sausage mixture., Place other 6 slices of bread on top, rest of sausage, cheese, milk and eggs., Push down with hands., Make the day before and refrigerate overnight., Bake at 350° for 1 hour., Top should be crusty brown."
Creamy Freezer Pie,"Pour milk into ice trays and freeze until almost frozen at edges., Put ice cold milk into cold bowl and mix with cold beaters at high speed until fluffy., Add sugar and your favorite flavor Kool-Aid; whip until stiff., Pour into a 9-inch pie pan that has been lined with vanilla wafers; piling high., Freeze until firm 3 to 4 hours."
Fried Green Tomatoes,"Salt and pepper tomato slices., Dip tomato slices into beaten eggs, then into flour., Drop into deep hot oil; let fry until golden brown., Makes about 2 dozen., Serve alone or with meal."
Ice Cream And Rice Chex Dessert,"Brown 1 package slivered almonds in 2 tablespoons margarine. Melt 1/4 cup butter/margarine; add remaining ingredients. Put 1/2 mixture in bottom of 13 x 9-inch pan., Add 2 quarts ice cream., Cover with other half of Chex mixture., Freeze."
"Potato, Ham And Cheese Casserole","Heat oven to 400°., Combine ham, potatoes, margarine, salt, pepper and milk, in a large saucepan, with just enough water to cover ham and potatoes., Cook until potatoes are done., Add flour and water to thicken., Add 1 cup of cheese and pimiento; stir until well-mixed."
Taco Casserole,"Cook hamburger according to taco seasoning directions., In a 9 x 13-inch pan layer the crushed chips, meat, refried beans, sour cream, cheese and finally sprinkle on the tomatoes and/or olives. Put in 350° oven until cheese is melted."
Russian Tea,"Bring to a boil and continue to boil for 5 minutes the water, sugar, cloves and cinnamon sticks., Add tea bags and brew for 10 minutes., Remove tea bags and add orange juice, pineapple juice and lemon juice., Better next day after refrigerated."
Mama'S Coffee Cake,"Mix all dry ingredients; then add the milk and egg., Put in a 9 x 13-inch greased pan."
Pumpkin Crunch,"Preheat oven to 350 degrees. Spray bottom of 9 X 13 pan. Combine pumpkin, milk, eggs, sugar, cinnamon and salt in a large bowl. Pour into pan. Sprinkle dry cake mix evenly over pumpkin mixture, top with pecans. Drizzle with melted butter over pecans. Bake 50-55 minutes, or until golden brown. Cool and serve chilled. Top with cool whip when serving."
Wanda'S Vegetable Soup,"Cook and dice meat., Save broth., Saute onions, celery, green peppers and garlic in olive or vegetable oil; add remaining ingredients., Add choice of rice, pasta or potato., Add salt and pepper."
Squash Casserole,"Mix these ingredients., Line 1 1/2-quart casserole with Pepperidge Farm seasoned bread crumbs., Pour in squash mixture. Top with more bread crumbs and melted butter., Bake at 350° for about 30 minutes."
Aggression Cookies(Make With Children)  ,"Mix with hands until smooth., Shape into balls; flatten on cookie sheet (ungreased)., Bake at 350° for 10 to 12 minutes."
Brown Rice,"Melt, 1 stick (or less) margarine in iron skillet., Add 1, cup rice, and	brown, lightly,, stirring, constantly.	Put browned rice, in casserole; add 1 can undiluted beef consomme and, 1 can undiluted onion soup., Place in preheated 325° oven and, cook, for 1	hour, and, 15 minutes in covered casserole. Delicious!!"
Punch Bowl Cake,"Crumble half of cake and layer half of the ingredients in order listed., Continue layering, beginning with last half of cake and ending with Cool Whip., Garnish with nuts, coconut, cherries, etc., Be sure to use punch bowl., It makes a large quantity."
Taco Soup,"Add all ingredients together., Simmer for 1 hour., Salt and pepper to taste., You can add hot sauce, if desired., This can be frozen."
Blueberry Salad,"Mix water with jello; then add pie filling and pineapple., Let jell in fridge., Mix cream cheese, sour cream, sugar and vanilla and spread over top of jello mix., Sprinkle 1/2 cup chopped pecans on top., Store in refrigerator."
Simple Meat Loaf,"Mix all ingredients in the order in which they are listed. Stir thoroughly., Press into a greased loaf tin and bake in a 350° preheated oven for one hour."
Banana Pudding,"Mix pudding and milk., Add sour cream and topping., Layer wafers, bananas and pudding., Chill."
Cherries Emily,"Combine cracker crumbs and margarine; press into 1 1/2-quart oblong Pyrex dish., Bake at 325° for 15 minutes., Cream the cheese and milk., Gradually add sugar., Spread mix over graham cracker crust., Sprinkle pecans over cream cheese mixture., Whip cream with vanilla., Spread over pecans., Chill., When cold, spread cherry pie filling on top., Chill overnight."
One-Pot Pork Chop Supper,"In skillet, brown chops., Pour off fat., Add remaining ingredients. Cover; cook over low heat 45 minutes or until tender. Yields 4 servings."
Alligator Fingers,"Add salt, pepper and garlic powder to flour and cornmeal., Coat gator strips with the mixture., Deep fry in vegetable oil."
San Francisco Oyster Loaf Ala Chase,"Cut lid off bread., Hollow out loaf., Clean the oysters and dredge in flour or cracker meal., Place oysters in frying pan with the olive oil and simmer on both sides until done, approximately 6 minutes. Butter inside of loaf., Place oysters in loaf., Replace lid and bake in a 325° oven for 10 minutes., Add and season with remaining ingredients to taste, especially the lemon which brings flavor to its peak. Serves 4 to 6."
Poppy Seed Chicken,"Begin by melting 3 tablespoons of butter in pan; allow to melt and become hot., Roll chicken strips in flour and place in pan. Cook chicken halfway and then add spices, onions and peppers. When chicken is almost done, add stock, rest of the vegetables and poppy seed dressing., Toss all ingredients in pan and serve over a bed of rice., Only toss for 30 to 40 seconds."
Carol'S Strawberry Pie,"Mix together syrup, sugar, cornstarch, salt and add water slowly and cook until clear., Add Jell-O; stir until dissolved. Cool and add berries., Pour into pie shell., Chill, then add Cool Whip on top."
Strawberry Cream Puffs,"Melt butter with boiling water in a small saucepan., Stir in flour and salt; cook over low heat, stirring constantly, until mixture leaves sides of pan in a smooth ball., Remove from heat and cool., Add eggs, one at a time, beating well after each addition., Drop mixture by heaping spoonfuls about 2 inches apart onto a greased cookie sheet., Bake at 400° for 40 minutes., Cool. Cut top off cream puffs and fill with sweetened strawberries., Top with whipped cream., Replace tops and garnish with whipped cream and whole strawberries., Yields 6 servings."
Apple Crisp,"Preheat oven to 350°., Layer apples in the bottom 8 by 8 inch square of baking dish., Combine water, cinnamon and salt, sprinkle mixture over apples., Work together the sugar, flour and butter until crumbly. Spread crumb mixture over apples., Bake uncovered about 40 minutes., Serve warm."
Marshmallow Salad,"Mix coconut, sour cream and the entire bag of marshmallows, torn into halves., Drain pineapple chunks, reserving juice., Add pineapple., Drain mandarin oranges and discard juice., Add oranges to mixture, reserving about 1 dozen to garnish., Blend together gently., Add some juice and mix again., Refrigerate."
Sweet Potato Puff,"Combine potatoes, margarine and seasonings; mix well., Place in 1-quart casserole., Top with Marshmallow Creme., Bake at 350° for 25 to 30 minutes."
Butter Nut Chewies,"Mix together and put in 9 x 13-inch pan., Bake at 350° for 25 to 30 minutes."
Oatmeal Chocolate Chip Cookies,"Cream shortening and sugars; add eggs and vanilla and mix thoroughly., Add dry ingredients and water, then stir in oatmeal, chocolate chips and nuts., Bake at 350° for 10 minutes., Do not overbake!"
Vegetable Tray,"On a large round serving plate, place lettuce in the center. Around the lettuce, place the onions, sliced tomatoes, radishes, cucumbers, celery and carrots. Serve with a Curry Dip."
Pineapple Sour Cream Cake,"Combine pineapple with juice and soda; mix well., In large bowl, combine cake mix and remaining ingredients., Add pineapple mixture., Beat at medium speed for 4 minutes., Pour into greased and floured 10-inch tube pan., Bake at 350° for 50 to 55 minutes. Do not under bake., Cool in pan, for 15 minutes., Remove from pan, finish cooling on rack."
Eggplant Bake,"Heat oven to 400°., Mix crumbs, oregano and garlic., Dip eggplant slices in butter, then in crumb mixture., Place in single layer on sprayed jelly roll pan., Spread evenly with sauce. Sprinkle with cheese., Bake 20 to 30 minutes., Serves 4 to 6."
German Hot Potato Salad,"Cook potatoes with skins on; salt lightly., Put cold water on them to hasten cooling to handle., Peel and cut into cubes., Mince bacon; fry until crisp., Combine onion, vinegar, water, sugar, salt, pepper and mustard; heat., Add potatoes, bacon and parsley. Heat slowly and mix to flavor potatoes."
Oriental Pork And Noodles,"Bring large pot of water to a boil., Add pasta; cook until tender., Drain and rinse with cold water., While pasta cooks, spray a large nonstick skillet with cooking spray., Heat over medium-high heat., Add pork., Cook 2 to 3 minutes., Stir often. Remove from skillet., Spray skillet again., Add bell pepper and carrots., Stir over medium-high heat 2 to 3 minutes until veggies are crisp and tender., Stir in corn and scallions., Mix remaining ingredients until well blended., Stir into skillet., Bring to a boil., Boil 30 seconds or until thickened and clear., Stir in pasta and pork., Cook until heated through."
Haystacks,*White chocolate or dark chocolate may be substituted for butterscotch.
Buttermilk Salad,"Bring pineapple (not drained) to boil., Add jello; stir well. Let mixture cool., Add buttermilk., Let cool., Let Cool Whip soften., Stir in last., Sprinkle top with chopped nuts."
Patti'S Icing,Mix together at high speed for 5 minutes.
Tex-Mex Dip,"Peel, pit and mash avocados in medium size bowl, with lemon juice, salt and pepper., Combine sour cream, mayonnaise and taco seasoning mix in another bowl."
Raisin Sauce For Ham,"Mix cornstarch in cold water., Add remaining ingredients. Cook on medium heat to desired thickness., Yields 1 1/2 cups."
Oven Fried Chicken,"Mix flour, salt, pepper, paprika, thyme and onion., Set aside. Melt margarine in a shallow baking pan in a 400 degree oven. Remove baking pan from oven., Dip chicken pieces in buttermilk, then in flour mixture., Place in buttered pan and turn to coat with butter., Bake in 400 degree oven for 30 minutes., Turn chicken. Bake another 30 minutes or until tender."
Chinese Chicken Salad,Break up Ramen noodles (do not use seasoning packet). Saut in margarine with sunflower seeds until noodles are light brown. Add almonds; mix.
Rum Pie,"Beat eggs and sugar., Soak gelatin in water, put over flame until boiling., Add nutmeg., Pour over sugar and eggs slowly., Mix well., Beat cream until stiff and add rum., Fold in egg yolk mixture., Pour into shell and chill., Sprinkle with shaved chocolate."
Neiman-Marcus Cake,"Mix cake mix, 2 eggs and butter together., Press into a 13 x 9-inch baking dish., Mix with beater the cream cheese, powdered sugar, 2 eggs and pecans., Spread on cake., Bake at 350° for 35 minutes."
Earthquake Cake,"Grease and flour 9 x 13-inch cake pan., Layer coconut; layer pecans., Prepare cake mix according to package directions., Spread over pecans., Mix together margarine, powdered sugar and cream cheese., Glob over cake by teaspoonfuls., Bake for 45 to 55 minutes at 350°., Cake will be shakey but will set up when cool."
Carrot-Raisin Salad,"Shred carrots to make 4 cups., Stir in raisins and salt., If your raisins are too hard, steam them for 1 minute in the microwave."
Dawn'S Focaccia Bread,"Spread even coat of olive oil on each piece of bread. Preheat oven to 400°., Combine all above ingredients in a bowl and mix., Spread a generous amount of topping on each piece of bread and bake in oven for 15 - 20 minutes."
Hot Dog Sauce,"In large pot, combine everything, except catsup., Boil until water is gone., Drain and discard grease., Add catsup and simmer about 30 minutes., Makes approximately 1 gallon."
Sauerkraut With Spareribs,"Put ribs in pan, season and bake at 450° for 20 minutes. Take ribs out of pan and put sauerkraut and remaining ingredients in., Place ribs on top of sauerkraut and bake at 350° for 1 1/2, to 2 hours."
Brown Rice,"Melt margarine in dish in oven., Add rice and onion and bake at 350° for 5 minutes., Add consomme and stir., Add mushrooms and bake 1 hour at 350°."
Chocaroons,"Start the oven at 300°. Add salt to egg whites. Beat until eggs are frothy. Beat in sugar, about 2 tablespoons at a time. Add vanilla. Gently stir in coconut, corn flakes and chocolate. Drop by teaspoonfuls on greased cookie sheet. Bake for 20 minutes. Makes 3 1/2 dozen."
California Curried Couscous(Serves 6)  ,"Bring chicken broth with curry to boil in medium saucepan. Stir in couscous; cover and reduce to low heat., Cook 5 minutes. Remove from heat and fluff with a fork., Cover until needed. While couscous cooks, saute garlic, celery and onion in olive oil over medium heat until soft, but not browned, about 5 minutes. Combine chutney and lemon juice in small bowl., Toss couscous with onion/celery mixture., Stir pine nuts, currants and green onions into chutney mixture in small frying pan over low heat., Pour over couscous and stir to combine."
Quick Macaroni And Cheese,"Place macaroni in microwave bowl, layering with butter and cheese., Pour milk over mixture., Microwave on High 3 to 4 minutes, stirring several times., Salt and pepper to taste."
Goblin Bread,Mix well and spread into cake pan. Bake at 350° for 35 minutes.
Tortellini Salad,"Cook tortellini; drain and add spinach, cheese and ham., Toss with dressing."
Vegetables Dip,"Mix together the Hidden Valley Ranch dressing and onion soup mix with sour cream., Let stand overnight before using., Makes a good dip for vegetables."
Unbaked New Year'S Cookies,"Melt chips over hot water and add remaining ingredients., Drop by teaspoonfuls onto waxed paper., Let dry and store in airtight container."
Hawaiian Wedding Cake,"Make cake according to package directions. When cool, spread crushed pineapple on top of cake."
Chicken And Dressing,"Cook chicken until tender in a large pot of boiling water. Remove chicken, saving broth!, Remove meat from bone., Mix all the dressing ingredients well (it will be real soupy)., Pour half of the mixture into a greased oblong baking dish., Place chicken pieces on top and cover with remaining dressing mixture., Bake at 450° for 30 minutes."
Mammy'S Chicken And Dumplings,"Wash chicken very good., Put whole chicken in large roaster with water covering chicken., Put 1/2 stick butter on top of chicken and cook until tender., Remove chicken to pan to be browned under broiler before serving."
Stuffed Oranges,"Mash potatoes, vanilla extract, sugar, margarine, eggs and orange extract together; set aside., Cut oranges in half and remove pulp (do not use veins)., Mix into potato mixture and place in orange shell., Bake 20 to 30 minutes at 350°., Remove and put marshmallows on top, place 1 cherry on top and return to oven at 350° until top is melted and lightly brown."
Hot Chicken Salad,"Combine all ingredients, except cheese, potato chips and almonds., Place in a large rectangle dish., Top with cheese, chips and almonds. Bake at 400° for 20 to 25 minutes."
Frozen Rocky Road,"Mix all, together, then fold in 1 cup of whipped cream. Freeze in Pyrex pan., Let thaw just enough to cut in squares."
Pimento Cheese,"Grate cheese. Add Miracle Whip, milk and pimentos. Mix thoroughly. Use for sandwiches or as a dip."
Potato Casserole,"Slice potatoes thin., Line bottom of dish., Slice onion over potatoes., Shake Krazy salt over., Sprinkle Parmesan cheese over this., Keep adding layers to make amount you want., Add milk to dish., Dot generously with butter., Cook at 325° for 1 hour., May add peppers., Makes it pretty as well as adds flavor."
Mary Jane'S Squash,"Slice squash crosswise into wheels., Layer in saucepan with sliced onion, salt, pepper and butter (dotted on squash)., Put pan on medium heat and when lid is hot, turn down to simmer and stir from time to time until tender, about 1/2 hour altogether."
Cherry Pie With Crumble Top,"Pour pie filling into greased 9 x 13-inch pan., Mix all other ingredients together until well mixed., Sprinkle over top of pie filling., Bake at 375° for 35 minutes."
Garlic Cheese Ball,"Mix all ingredients except chili powder and paprika., Shape and roll into this."
Cream Cheese Rhubarb Pie,"Preheat oven to 425°., In a 2-quart saucepan, combine the rhubarb, cornstarch, salt and 1 cup of the sugar., Cook over medium heat, stirring often, until the mixture boils and thickens., Pour the rhubarb mixture into the unbaked pie shell., Bake 10 minutes. Remove from the oven and set aside., Reduce the oven temperature to 350°."
Spinach Dip,Mix all ingredients. Cover and refrigerate to blend flavors about 1 hour. Serve with crackers.
Chocolate Oat Dream Candy,"Stir until cool, and, drop, on, waxed paper or put into lightly buttered dish until fully cooked."
Tea Cakes,"Put butter and margarine on stove and let it melt., Put flour in bread tray and sprinkle cinnamon over it., Mix eggs and sugar in a bowl and stir and beat until smooth., Then pour this into the flour., Add melted butter and margarine., Mix good until real stiff., Roll out dough real thin and use a saucer to cut out the tea cakes., Sprinkle sugar on top and cook."
Watergate Salad,"Put Cool Whip in a large bowl., Add pudding mix, pineapple and nuts., Mix and store in refrigerator., May be topped with cherries."
Sangria,"Combine first 4 ingredients in a large pitcher, stirring to dissolve sugar., Add club soda just before serving., Serve over ice., Makes about 1 quart."
